condition,n,mean_total_entries,sd_total_entries,sem,ci95_halfwidth,median,min,max,sum_total_entries
counter,10,11.700000,3.335000,1.054619,2.385549,12.000000,5,16,117
journal,8,3.375000,1.505941,0.532430,1.259198,3.500000,1,6,27
